cust_num,category,balance,age,acct_num,opendt
1,intl equity,7807.46666666667,86,1,14441
1,low  equity,63069.1666666667,86,2,11091
1,high equity,9375.23333333333,86,3,12421
1,intl equity,21905.3277777778,86,4,12421
1,low  equity,19276.5111111111,86,5,12423
1,intl equity,42149.2944444444,86,6,12449
1,intl equity,9559.74444444444,86,7,17528
1,intl equity,10420.4222222222,86,8,17528
1,intl equity,12268.45,86,9,17528
1,intl equity,7165.19444444444,86,10,17553
1,Brokerage,7289.06666666667,86,11,17534
1,mon mkt,121744.672222222,86,12,17818
1,low  equity,14236.0222222222,86,13,17896
1,low  equity,14546.4388888889,86,14,17896
1,bonds,6659.6,86,15,17897
1,bonds,11549.3,86,16,17877
2,mon mkt,1449.25555555556,62,17,14224
3,low  equity,1441.19444444444,61,18,15008
3,mon mkt,34.5888888888889,61,19,17820
4,Retire Date,17933.0333333333,46,20,15732
4,Retire Date,15968.9944444444,46,21,15732
4,low  equity,15195.3388888889,46,22,15732
4,Retire Date,5549.61111111111,46,23,17076
4,Retire Date,5616.16666666667,46,24,17076
6,bonds,33996.1944444444,65,25,14075
6,mon mkt,451.883333333333,65,26,16328
6,Retire Date,7334.48888888889,65,27,16644
6,bonds,2577.71111111111,65,28,16733
6,mon mkt,171238.077777778,65,29,16938
6,mon mkt,1485.77777777778,65,30,17080
6,Retire Date,58780.85,65,31,17506
6,Retire Date,135744.011111111,65,32,17506
7,low  equity,2739.88888888889,77,33,17632
8,low  equity,27506.9611111111,72,34,15390
8,mon mkt,11682.55,72,35,11129
8,Retire Date,37.9166666666667,72,36,15726
8,low  equity,32617.1333333333,72,37,15447
8,Retire Date,40938.7888888889,72,38,17240
8,Retire Date,12387.7277777778,72,39,17310
8,mon mkt,1336.06666666667,72,40,17596
8,bonds,22368.5222222222,72,41,18144
9,low  equity,4561.65555555556,69,42,15075
9,low  equity,1781.79444444444,69,43,16119
10,mon mkt,384.827777777778,74,44,13215
10,bonds,12339.1277777778,74,45,14935
10,bonds,21255.7722222222,74,46,14935
10,bonds,5873.95555555556,74,47,14935
